date,hour,prediction,real
42310.000,2.000,16.831,22.920
42310.000,3.000,17.070,22.240
42310.000,4.000,19.870,23.800
42310.000,5.000,27.861,27.860
42310.000,6.000,31.098,34.950
42310.000,7.000,32.474,32.610
42310.000,8.000,32.912,34.090
42310.000,9.000,33.460,28.430
42310.000,10.000,34.263,41.830
42310.000,11.000,34.260,35.360
42310.000,12.000,32.987,32.980
42310.000,13.000,33.024,31.880
42310.000,14.000,32.280,31.390
42310.000,15.000,32.267,34.630
42310.000,16.000,32.492,40.160
42310.000,17.000,36.623,37.960
42310.000,18.000,34.929,37.930
42310.000,19.000,31.746,26.530
42310.000,20.000,29.034,25.750
42310.000,21.000,28.708,25.540
42310.000,22.000,27.391,25.050
42310.000,23.000,25.038,24.310
42311.000,0.000,20.420,23.340
42311.000,1.000,19.261,22.990
42311.000,2.000,19.108,22.820
42311.000,3.000,19.821,23.260
42311.000,4.000,22.667,23.910
42311.000,5.000,30.052,24.680
42311.000,6.000,32.716,31.130
42311.000,7.000,35.306,31.330
42311.000,8.000,36.512,31.890
42311.000,9.000,37.398,26.890
42311.000,10.000,37.751,38.960
42311.000,11.000,37.908,44.080
42311.000,12.000,37.256,35.960
42311.000,13.000,37.280,33.910
42311.000,14.000,37.029,35.980
42311.000,15.000,37.054,50.280
42311.000,16.000,37.612,55.510
42311.000,17.000,40.249,52.820
42311.000,18.000,38.375,55.510
42311.000,19.000,35.563,36.700
42311.000,20.000,31.339,25.930
42311.000,21.000,30.518,26.890
42311.000,22.000,28.659,25.050
42311.000,23.000,24.258,24.320
42312.000,0.000,20.154,23.510
42312.000,1.000,18.032,23.160
42312.000,2.000,17.109,23.080
42312.000,3.000,17.456,23.200
42312.000,4.000,20.577,23.670
42312.000,5.000,29.692,24.690
42312.000,6.000,34.205,28.530
42312.000,7.000,38.411,30.000
42312.000,8.000,38.678,31.310
42312.000,9.000,38.024,28.620
42312.000,10.000,38.398,28.570
42312.000,11.000,38.276,28.560
42312.000,12.000,37.114,27.560
42312.000,13.000,35.845,26.760
42312.000,14.000,35.093,26.900
42312.000,15.000,35.348,26.890
42312.000,16.000,37.312,29.190
42312.000,17.000,40.682,35.470
42312.000,18.000,39.109,34.490
42312.000,19.000,36.523,31.320
42312.000,20.000,31.139,25.950
42312.000,21.000,30.841,25.250
42312.000,22.000,29.388,24.830
42312.000,23.000,26.261,24.050
42313.000,0.000,23.504,23.820
42313.000,1.000,21.971,23.330
42313.000,2.000,21.626,23.200
42313.000,3.000,23.224,23.660
42313.000,4.000,27.942,25.830
42313.000,5.000,33.262,51.390
42313.000,6.000,38.434,61.020
42313.000,7.000,40.595,67.580
42313.000,8.000,41.339,62.570
42313.000,9.000,40.792,33.190
42313.000,10.000,41.291,55.100
42313.000,11.000,40.916,51.030
42313.000,12.000,39.740,35.960
42313.000,13.000,40.261,34.460
42313.000,14.000,40.093,34.430
42313.000,15.000,39.858,35.900
42313.000,16.000,41.925,68.120
42313.000,17.000,45.806,69.930
42313.000,18.000,42.890,69.970
42313.000,19.000,40.075,51.330
42313.000,20.000,37.042,27.220
42313.000,21.000,35.556,28.410
42313.000,22.000,33.152,25.700
42313.000,23.000,30.861,24.300
42314.000,0.000,28.459,23.610
42314.000,1.000,26.212,23.060
42314.000,2.000,24.702,22.880
42314.000,3.000,25.147,23.080
42314.000,4.000,29.353,25.690
42314.000,5.000,35.377,35.930
42314.000,6.000,39.857,52.090
42314.000,7.000,42.830,55.070
42314.000,8.000,43.138,55.060
42314.000,9.000,43.165,34.450
42314.000,10.000,43.634,40.980
42314.000,11.000,43.014,45.000
42314.000,12.000,41.373,35.980
42314.000,13.000,40.206,35.900
42314.000,14.000,38.993,35.380
42314.000,15.000,38.669,39.100
42314.000,16.000,40.385,55.080
42314.000,17.000,43.818,55.060
42314.000,18.000,40.719,55.030
42314.000,19.000,37.158,29.110
42314.000,20.000,33.504,25.670
42314.000,21.000,32.841,24.760
42314.000,22.000,31.745,24.370
42314.000,23.000,28.786,23.550
42315.000,0.000,22.896,22.860
42315.000,1.000,20.744,22.080
42315.000,2.000,19.575,21.660
42315.000,3.000,19.392,20.430
42315.000,4.000,19.863,21.290
42315.000,5.000,22.298,22.070
42315.000,6.000,26.923,28.600
42315.000,7.000,29.846,29.040
42315.000,8.000,31.665,30.870
42315.000,9.000,32.148,32.270
42315.000,10.000,32.119,31.300
42315.000,11.000,32.207,30.510
42315.000,12.000,32.242,28.590
42315.000,13.000,32.243,28.530
42315.000,14.000,32.898,28.520
42315.000,15.000,36.071,34.400
42315.000,16.000,38.874,35.940
42315.000,17.000,42.428,54.310
42315.000,18.000,39.891,35.500
42315.000,19.000,36.461,34.430
42315.000,20.000,32.468,31.350
42315.000,21.000,31.684,32.950
42315.000,22.000,30.532,29.080
42315.000,23.000,25.554,27.340
42316.000,0.000,20.819,23.710
42316.000,1.000,19.004,21.060
42316.000,2.000,15.637,19.400
42316.000,3.000,17.002,19.710
42316.000,4.000,16.311,20.900
42316.000,5.000,17.644,24.890
42316.000,6.000,18.779,27.390
42316.000,7.000,20.561,25.080
42316.000,8.000,23.361,28.570
42316.000,9.000,26.157,31.170
42316.000,10.000,28.390,34.470
42316.000,11.000,29.121,34.440
42316.000,12.000,28.919,32.940
42316.000,13.000,29.293,31.360
42316.000,14.000,30.694,34.400
42316.000,15.000,32.462,39.940
42316.000,16.000,36.628,60.710
42316.000,17.000,37.006,32.950
42316.000,18.000,34.455,30.500
42316.000,19.000,31.695,28.350
42316.000,20.000,29.691,24.990
42316.000,21.000,30.381,26.060
42316.000,22.000,28.640,25.140
42316.000,23.000,23.364,22.540
42317.000,0.000,19.515,20.620
42317.000,1.000,16.915,18.190
42317.000,2.000,15.786,16.020
42317.000,3.000,15.699,15.740
42317.000,4.000,18.167,25.790
42317.000,5.000,26.390,35.950
42317.000,6.000,32.155,51.440
42317.000,7.000,35.529,60.020
42317.000,8.000,36.230,61.820
42317.000,9.000,34.593,34.650
42317.000,10.000,36.100,44.970
42317.000,11.000,36.354,35.990
42317.000,12.000,34.452,36.000
42317.000,13.000,33.934,41.080
42317.000,14.000,33.407,35.920
42317.000,15.000,33.516,44.240
42317.000,16.000,34.746,61.850
42317.000,17.000,37.469,45.090
42317.000,18.000,34.999,49.900
42317.000,19.000,32.642,31.740
42317.000,20.000,30.860,27.400
42317.000,21.000,30.124,28.590
42317.000,22.000,28.636,25.950
42317.000,23.000,25.092,19.410
42318.000,0.000,22.284,15.890
42318.000,1.000,21.004,13.140
42318.000,2.000,20.822,12.780
42318.000,3.000,21.766,15.140
42318.000,4.000,25.401,26.150
42318.000,5.000,31.262,39.500
42318.000,6.000,35.372,42.940
