date,hour,prediction,real
42307.000,0.000,26.650,25.870
42307.000,1.000,27.241,25.550
42307.000,2.000,28.525,25.420
42307.000,3.000,29.411,25.610
42307.000,4.000,30.872,27.640
42307.000,5.000,34.442,34.480
42307.000,6.000,39.867,36.020
42307.000,7.000,45.421,52.050
42307.000,8.000,45.546,53.680
42307.000,9.000,43.991,54.000
42307.000,10.000,41.897,52.000
42307.000,11.000,39.499,49.360
42307.000,12.000,38.043,44.550
42307.000,13.000,37.516,43.870
42307.000,14.000,36.842,43.600
42307.000,15.000,36.409,36.020
42307.000,16.000,36.784,52.290
42307.000,17.000,37.351,55.010
42307.000,18.000,36.610,52.280
42307.000,19.000,35.187,33.840
42307.000,20.000,33.328,28.110
42307.000,21.000,31.559,28.150
42307.000,22.000,29.271,25.700
42307.000,23.000,27.291,24.800
42308.000,0.000,25.687,24.560
42308.000,1.000,24.002,24.360
42308.000,2.000,22.371,24.160
42308.000,3.000,21.141,24.050
42308.000,4.000,20.352,24.160
42308.000,5.000,19.985,24.320
42308.000,6.000,20.166,24.090
42308.000,7.000,20.986,24.310
42308.000,8.000,22.526,24.580
42308.000,9.000,24.438,25.000
42308.000,10.000,26.112,25.270
42308.000,11.000,26.707,25.330
42308.000,12.000,27.164,25.260
42308.000,13.000,27.635,25.110
42308.000,14.000,27.997,25.100
42308.000,15.000,29.334,25.390
42308.000,16.000,31.714,25.870
42308.000,17.000,34.205,28.180
42308.000,18.000,33.635,28.180
42308.000,19.000,31.332,25.740
42308.000,20.000,28.773,25.150
42308.000,21.000,27.310,24.680
42308.000,22.000,26.065,24.500
42308.000,23.000,24.363,24.140
42309.000,0.000,22.235,23.560
42309.000,1.000,19.526,23.120
42309.000,2.000,17.973,22.860
42309.000,3.000,17.698,22.870
42309.000,4.000,17.421,23.050
42309.000,5.000,17.442,23.540
42309.000,6.000,17.589,23.580
42309.000,7.000,18.050,23.620
42309.000,8.000,18.640,24.350
42309.000,9.000,19.120,24.750
42309.000,10.000,19.611,25.200
42309.000,11.000,19.876,25.240
42309.000,12.000,19.874,25.190
42309.000,13.000,20.072,25.090
42309.000,14.000,20.360,25.080
42309.000,15.000,21.092,25.200
42309.000,16.000,22.449,25.640
42309.000,17.000,23.594,25.920
42309.000,18.000,23.332,25.860
42309.000,19.000,23.144,25.640
42309.000,20.000,23.236,25.320
42309.000,21.000,23.542,25.140
42309.000,22.000,23.337,24.570
42309.000,23.000,22.379,23.910
42310.000,0.000,20.861,23.680
42310.000,1.000,19.978,23.140
42310.000,2.000,19.331,22.920
42310.000,3.000,18.692,22.240
42310.000,4.000,18.373,23.800
42310.000,5.000,19.680,27.860
42310.000,6.000,21.616,34.950
42310.000,7.000,23.808,32.610
42310.000,8.000,24.503,34.090
42310.000,9.000,24.574,28.430
42310.000,10.000,24.851,41.830
42310.000,11.000,24.656,35.360
42310.000,12.000,23.993,32.980
42310.000,13.000,23.699,31.880
42310.000,14.000,23.304,31.390
42310.000,15.000,22.969,34.630
42310.000,16.000,23.323,40.160
42310.000,17.000,24.521,37.960
42310.000,18.000,24.018,37.930
42310.000,19.000,22.982,26.530
42310.000,20.000,22.907,25.750
42310.000,21.000,23.233,25.540
42310.000,22.000,23.533,25.050
42310.000,23.000,23.695,24.310
42311.000,0.000,23.306,23.340
42311.000,1.000,21.022,22.990
42311.000,2.000,20.719,22.820
42311.000,3.000,20.923,23.260
42311.000,4.000,21.154,23.910
42311.000,5.000,22.219,24.680
42311.000,6.000,24.464,31.130
42311.000,7.000,26.822,31.330
42311.000,8.000,27.719,31.890
42311.000,9.000,28.159,26.890
42311.000,10.000,28.697,38.960
42311.000,11.000,28.812,44.080
42311.000,12.000,28.879,35.960
42311.000,13.000,29.248,33.910
42311.000,14.000,29.402,35.980
42311.000,15.000,29.690,50.280
42311.000,16.000,30.736,55.510
42311.000,17.000,32.531,52.820
42311.000,18.000,31.316,55.510
42311.000,19.000,30.457,36.700
42311.000,20.000,29.296,25.930
42311.000,21.000,28.390,26.890
42311.000,22.000,27.594,25.050
42311.000,23.000,26.330,24.320
42312.000,0.000,24.882,23.510
42312.000,1.000,23.221,23.160
42312.000,2.000,21.552,23.080
42312.000,3.000,20.388,23.200
42312.000,4.000,19.823,23.670
42312.000,5.000,22.039,24.690
42312.000,6.000,29.067,28.530
42312.000,7.000,37.079,30.000
42312.000,8.000,40.994,31.310
42312.000,9.000,40.448,28.620
42312.000,10.000,39.290,28.570
42312.000,11.000,37.627,28.560
42312.000,12.000,36.202,27.560
42312.000,13.000,35.453,26.760
42312.000,14.000,34.734,26.900
42312.000,15.000,33.955,26.890
42312.000,16.000,34.664,29.190
42312.000,17.000,37.247,35.470
42312.000,18.000,36.731,34.490
42312.000,19.000,34.580,31.320
42312.000,20.000,32.310,25.950
42312.000,21.000,30.608,25.250
42312.000,22.000,29.035,24.830
42312.000,23.000,27.882,24.050
42313.000,0.000,24.869,23.820
42313.000,1.000,24.409,23.330
42313.000,2.000,24.590,23.200
42313.000,3.000,24.967,23.660
42313.000,4.000,26.093,25.830
42313.000,5.000,30.150,51.390
42313.000,6.000,35.579,61.020
42313.000,7.000,41.015,67.580
42313.000,8.000,43.832,62.570
42313.000,9.000,42.485,33.190
42313.000,10.000,41.158,55.100
42313.000,11.000,39.264,51.030
42313.000,12.000,37.739,35.960
42313.000,13.000,37.165,34.460
42313.000,14.000,36.531,34.430
42313.000,15.000,36.036,35.900
42313.000,16.000,36.962,68.120
42313.000,17.000,39.909,69.930
42313.000,18.000,38.111,69.970
42313.000,19.000,36.075,51.330
42313.000,20.000,34.319,27.220
42313.000,21.000,32.823,28.410
42313.000,22.000,31.618,25.700
42313.000,23.000,30.525,24.300
42314.000,0.000,30.048,23.610
42314.000,1.000,29.928,23.060
42314.000,2.000,29.899,22.880
42314.000,3.000,29.941,23.080
42314.000,4.000,30.474,25.690
42314.000,5.000,32.333,35.930
42314.000,6.000,35.483,52.090
42314.000,7.000,39.778,55.070
42314.000,8.000,42.287,55.060
42314.000,9.000,42.189,34.450
42314.000,10.000,41.806,40.980
42314.000,11.000,40.270,45.000
42314.000,12.000,38.322,35.980
42314.000,13.000,37.041,35.900
42314.000,14.000,36.141,35.380
42314.000,15.000,35.753,39.100
42314.000,16.000,36.370,55.080
42314.000,17.000,37.754,55.060
42314.000,18.000,36.821,55.030
42314.000,19.000,35.183,29.110
42314.000,20.000,33.512,25.670
42314.000,21.000,32.250,24.760
42314.000,22.000,31.411,24.370
42314.000,23.000,30.515,23.550
42315.000,0.000,24.401,22.860
42315.000,1.000,23.109,22.080
42315.000,2.000,22.407,21.660
42315.000,3.000,21.641,20.430
42315.000,4.000,20.946,21.290
42315.000,5.000,21.126,22.070
42315.000,6.000,22.134,28.600
42315.000,7.000,27.977,29.040
42315.000,8.000,34.574,30.870
42315.000,9.000,37.998,32.270
42315.000,10.000,38.196,31.300
42315.000,11.000,36.639,30.510
42315.000,12.000,34.661,28.590
42315.000,13.000,33.657,28.530
42315.000,14.000,33.443,28.520
42315.000,15.000,34.410,34.400
42315.000,16.000,36.030,35.940
42315.000,17.000,37.534,54.310
42315.000,18.000,36.735,35.500
42315.000,19.000,34.799,34.430
42315.000,20.000,32.833,31.350
42315.000,21.000,30.852,32.950
42315.000,22.000,28.414,29.080
42315.000,23.000,25.077,27.340
42316.000,0.000,21.843,23.710
42316.000,1.000,19.616,21.060
42316.000,2.000,17.366,19.400
42316.000,3.000,16.000,19.710
42316.000,4.000,14.836,20.900
42316.000,5.000,14.601,24.890
42316.000,6.000,15.255,27.390
42316.000,7.000,16.592,25.080
42316.000,8.000,18.745,28.570
42316.000,9.000,22.693,31.170
42316.000,10.000,27.133,34.470
